session_id,date,duration_hrs,active_hrs,bank_hrs,trips,total_kills,total_attacks,actual_supply_cost,rng_variance_gp,t_ngp_hr,astb,miss_per_hr,delta_kph,config_weapon_Dragon hunter crossbow,config_ammo_Diamond bolts (e),config_ammo_Dragonstone bolts (e),config_ammo_Pearl dragon bolts (e),config_ammo_Runite Bolts,config_ring_Archers ring (i),config_ring_Ring of the gods (i),config_back_Ava's assembler,config_back_Ranging cape (t),config_feet_Devout Boots,config_feet_Pegasian boots,config_feet_Saradomin d'hide boots,config_prayer_Rigour,config_tele_Xeric's Talisman,config_bank_Ring of dueling,config_bones_Bonecrusher necklace,config_bones_Pick up bones,config_pray_restore_Moonlight Moth,config_pray_restore_Prayer Potions,config_hands_Saradomin bracers,config_hands_Zaryte vambraces,config_head_Masori mask (f),config_head_Saradomin coif,config_body_Masori body (f),config_body_Saradomin d'hide body,config_legs_Masori chaps (f),config_legs_Saradomin chaps
session_1772897131,2026-03-07,0.7372538436111111,0.6522252436478932,0.06885517611111111,7,54,755,141451.0,-301710.9010321256,1755791.322418569,35.41123342857143,41.39674178967546,2.1068843369782826,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1772938625,2026-03-07,1.1017148816666666,0.9977876457240846,0.08378796694444443,8,73,1167,431933.75,210331.7819380525,1232449.9656461608,37.704585124999994,30.066517789192808,-4.05661176869404,True,False,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,True,False,False,True,False,True,False,True
session_1772942707,2026-03-07,1.2160388075,1.059183066619767,0.1397584577777778,11,77,1221,228623.5,-388712.2848050678,1495745.6732358995,45.73913163636364,47.206192749632905,-3.9703420234393576,True,False,False,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,True,True,False,False,True,False,True,False,True
session_1773283471,2026-03-11,1.0243172747222222,0.8992788490984175,0.11280705055555557,11,74,1040,215343.5,44911.7652522726,1710789.9846978046,36.91867109090909,43.36808325815725,-0.7397865292602148,True,False,False,False,True,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773287953,2026-03-11,1.0051226419444443,0.8903112625413471,0.10410247944444445,10,72,1033,197417.75,271692.79862383264,1708384.011780204,37.4768926,39.312093952506366,-2.0744018807910294,True,False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773452765,2026-03-13,1.2730354280555556,1.1173968924416435,0.1415534502777778,13,90,1290,282591.75,-373974.50172020914,1657926.9556888577,39.199417000000004,44.74685793222864,-1.3854527461652708,True,True,False,False,False,False,True,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773507005,2026-03-14,1.0744910997222221,0.971595994896359,0.08732677499999998,8,79,1129,353212.0,212705.6818233719,1473844.0537907009,39.297048749999995,37.05243762747308,-0.737768978273337,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1773510995,2026-03-14,0.6745320963888889,0.5952330488628811,0.06399038527777778,6,48,691,143024.25,-90350.80091744475,1680193.6586632582,38.394231166666664,38.64032758923357,-1.3484293862262717,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773551711,2026-03-15,1.0667122530555555,0.9146535525719325,0.13559280583333333,13,71,1046,232735.25,195003.81530961278,1551708.9355156973,37.548777,55.758816938492274,-4.877780376081532,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773630456,2026-03-15,1.7873304875,1.588599187930425,0.18640954222222225,19,128,1814,392706.75,-151557.13577985298,1684603.6067965035,35.31970273684211,57.912657074850074,-1.656183322360846,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773788046,2026-03-17,0.37414662527777776,0.3127685505151749,0.048827034166666665,4,27,362,84927.0,-229176.4505160628,1691931.472176401,43.94433075,41.56428125074317,3.3783605170636264,True,False,False,False,True,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773806560,2026-03-17,1.1410595069444445,1.0087217563390731,0.12106459916666668,12,80,1157,280911.75,110945.66513759177,1618118.5763104146,36.31937975,52.541743713699084,-3.1511953451634156,True,False,False,False,True,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773811373,2026-03-18,0.3591516983333334,0.31785047888755796,0.02863521583333333,3,27,375,94420.0,-48823.45051606279,1736139.5015243657,34.362259,18.876800252116485,-0.3469879518072361,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773868416,2026-03-18,0.6866024291666666,0.5987460473510954,0.07331016444444444,7,49,702,172738.5,263897.1823967751,1646107.3680950725,37.70237028571428,26.722514613307915,-1.1449766166747395,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1773879692,2026-03-18,0.6883210558333334,0.6056140880452262,0.059220723611111116,6,48,704,152808.0,-57679.80091744475,1632320.8354525452,35.53243416666667,36.326763914972005,-2.887700534759361,True,True,False,False,False,True,False,True,False,True,False,False,True,True,True,False,True,True,False,False,True,False,True,True,False,True,False
session_1773888345,2026-03-18,0.7555309716666666,0.67542559630341,0.06496160222222222,7,54,786,166214.5,74475.09896787442,1680540.5054821577,33.408824,35.53315144014602,-1.669401441107226,True,True,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,False,True
