item_id,priced_days,volume_days,trailing_60d_total_val,trailing_60d_avg_daily_val,eligible,exclusion_reason,rank,selected,weighting_basis_sqrt_val,rebalance_date,item_name
365,60,60,1821927726,30365462.1,True,,1361.0,False,5510.4865574647765,2026-03-02,Bass
371,60,60,13075909604,217931826.73333332,True,,797.0,False,14762.514241596291,2026-03-02,Raw swordfish
373,60,60,17875920248,297932004.1333333,True,,725.0,False,17260.706941876204,2026-03-02,Swordfish
377,60,60,7527638992,125460649.86666666,True,,942.0,False,11200.921831111342,2026-03-02,Raw lobster
379,60,60,14278670978,237977849.63333333,True,,776.0,False,15426.530706329708,2026-03-02,Lobster
383,60,60,112597665232,1876627753.8666666,True,,310.0,False,43320.0617943542,2026-03-02,Raw shark
385,60,60,226332967413,3772216123.55,True,,202.0,False,61418.36959371358,2026-03-02,Shark
389,60,60,39498380124,658306335.4,True,,536.0,False,25657.48108057375,2026-03-02,Raw manta ray
391,60,60,78314836659,1305247277.65,True,,391.0,False,36128.206122778916,2026-03-02,Manta ray
395,60,60,19085644006,318094066.76666665,True,,710.0,False,17835.19180627634,2026-03-02,Raw sea turtle
397,60,60,22587914777,376465246.28333336,True,,670.0,False,19402.71234346717,2026-03-02,Sea turtle
401,60,60,182862769,3047712.816666667,True,,2184.0,False,1745.7699781662723,2026-03-02,Seaweed
403,60,60,1738140,28969.0,True,,3789.0,False,170.2028201881508,2026-03-02,Edible seaweed
405,60,60,195878768,3264646.1333333333,True,,2153.0,False,1806.833178058598,2026-03-02,Casket
407,60,60,68171609,1136193.4833333334,True,,2579.0,False,1065.9237699447992,2026-03-02,Oyster
411,60,60,26401810,440030.1666666667,True,,2957.0,False,663.347696661914,2026-03-02,Oyster pearl
413,60,60,786243289,13104054.816666666,True,,1648.0,False,3619.9523224300438,2026-03-02,Oyster pearls
426,60,60,1226658,20444.3,True,,3836.0,False,142.9835654891848,2026-03-02,Priest gown (top)
428,60,60,2078172,34636.2,True,,3757.0,False,186.10803314204358,2026-03-02,Priest gown (bottom)
434,60,60,1520142102,25335701.7,True,,1420.0,False,5033.45822471986,2026-03-02,Clay
436,60,60,494613028,8243550.466666667,True,,1824.0,False,2871.1583841137476,2026-03-02,Copper ore
438,60,60,204962834,3416047.2333333334,True,,2141.0,False,1848.2551862049065,2026-03-02,Tin ore
